height,weight,years,country
69.0,150.0,48.7453766656,USA
70.0,160.0,27.0056506382,USA
68.0,165.0,30.0631848848,KOR
70.0,163.0,35.3727739259,IND
71.0,161.0,30.5700341998,SWE
,,,
77.0,198.0,47.8248287204,SWE
,,,USA
72.0,190.0,,USA
73.0,,25.2577054327,USA
66.0,159.0,24.0001711862,JPN
70.0,165.0,46.9124999533,USA
72.0,165.0,32.4960615971,DEU
,,,
71.0,165.0,,USA
69.0,175.0,24.5261985834,USA
74.0,210.0,38.9070205012,USA
68.0,150.0,,USA
,,,USA
70.0,200.0,,USA
,,,
75.0,196.0,45.0385273505,WLS
,,18.1426369396,THA
,,,DEU
73.0,190.0,35.682362967,USA
,,,USA
69.0,140.0,,USA
70.0,160.0,32.0220889944,USA
72.0,178.0,26.8467465286,KOR
,,,
,,,USA
68.0,,37.1289383095,KOR
,,39.7535958437,KOR
70.0,160.0,31.3782533779,KOR
,,,
,,,USA
71.0,150.0,23.9481163916,USA
,,,USA
,,,KOR
71.0,172.0,25.3398972136,KOR
72.0,179.0,,USA
,,,ENG
75.0,175.0,32.1371574875,USA
70.0,165.0,33.3645547478,USA
67.0,155.0,24.4440068026,USA
,,31.3179794054,USA
67.0,147.0,42.1207191314,DNK
71.0,160.0,,USA
73.0,,,USA
69.0,215.0,32.0029109122,USA
,,,USA
70.0,155.0,32.0166095423,SCT
71.0,160.0,41.4303081725,USA
,,,JPN
66.0,154.0,27.7892122821,JPN
72.0,186.0,27.1481163917,USA
74.0,170.0,29.876883515,NOR
74.0,170.0,27.3344177615,USA
72.0,,37.276883515,ZAF
76.0,225.0,32.0988013232,CAN
66.0,130.0,40.0330478985,JPN
68.0,168.0,36.9316780355,FIN
,,,USA
71.0,180.0,,USA
,,,USA
73.0,205.0,,USA
72.0,185.0,48.7426369396,USA
,,,USA
69.0,,,USA
76.0,195.0,39.0220889944,USA
74.0,205.0,41.8001711862,USA
,,45.876883515,USA
72.0,,34.2029109122,AUS
70.0,165.0,42.4440068026,USA
,,,
73.0,185.0,28.6303081725,IND
74.0,190.0,34.4960615972,SCT
,180.0,,USA
72.0,175.0,36.9618150218,USA
69.0,185.0,32.0001711862,TUR
72.0,170.0,,USA
67.0,155.0,29.8878424191,USA
,,22.1124999533,FRA
69.0,160.0,,DEU
70.0,160.0,28.1618150218,USA
69.0,170.0,,USA
